Title,Price,Number of Bedrooms,Number of Bathrooms,Property Type,Floor Area (m2),BER Rating,Latitude,Longitude,Listing Views,Area,County,Features,Date of Construction
"Cloverhill, Sligo, Co. Sligo, F91H5V2",645000,5,3,Detached,211,B2,54.23816,-8.514905,10317,sligo-sligo,Sligo,"uPVC Double Glazed Windows & Doors, Solid Oak Doors & Stairs, BEAM Vacuum System, Enjoys 1GB Fibre Broadband, Stands on c. 0.84 acres with large Detached Garage, Ample Parking to Front Side & Rear, Mature Landscaped Gardens Surround, Scenic & Quiet Residential Area, Oil Fired Central Heating Solid Fuel Burning Stove & Raised Gas Fire, Alarmed",2006
"4 Earlsfort View, Lucan, Co. Dublin, K78HH52",385000,3,1,Semi-D,N/A,C2,53.34297,-6.414212,10540,lucan-dublin,Dublin,,1995
"Aille, Barna, Co. Galway, H91P58F",600000,4,2,Detached,184,D1,53.265412,-9.145455,8278,barna-galway,Galway,"Large detached residence, Spacious site of approximately 0.76 acres, Manicured green & private surroundings, Thoughtfully postioned outdoor patios, Sought after southerly aspect, Abundance of accommodation & reception spaces, Plentiful natural light, Popular residential area, Close proximity to Barna Village, Well serviced for nearby amenities in Barna & Knocknacarra",1978
"Lower Ballygarvan, Ballygarvan, Co. Cork, T12AH31",625000,4,3,Detached,177,B3,51.820432,-8.479628,12194,ballygarvan-cork,Cork,"Beautiful Detached on a wonderful setting, Standing on 1.2acres of mature gardens, 4 Double bedrooms, Detached Concrete built Garage, Spacious parking area, PVC Double Glazed Windows, Close to Cork Airport, CUH, Ringaskiddy, Kinsale, Oil Central Heating, 10mins from Carrigaline, South Facing",1991
"98 Tudor Grove, Ashbourne, Ashbourne, Co. Meath, A84E671",495000,4,3,Detached,165,C2,53.516048,-6.403225,3789,ashbourne-meath,Meath,"Spacious Four Bedroom Residence , Beautiful Light Filled Extension, Close to all Amenities",1991
"Kenah Hill, St George's Avenue, Killiney, Co Dublin, A96PY79",10750000,7,7,Detached,929,SI_666,53.261294,-6.119492,25328,killiney-dublin,Dublin,"Special Features, Distinctive Victorian Residence, Seven bedrooms with separate guest quarters, Indoor Swimming pool, solarium and bar, All-weather tennis court, Breath-taking panoramic sea views, Exceptional luxurious interiors, Tall ceiling heights and ornate cornice work, Hand painted wall treatments, gilding and rich silk wallpapers, Sweeping cantilevered staircase",NA
"Grandale, 77 Hawthorn Drive, Waterford City, Co. Waterford, X91V30A",225000,3,1,Semi-D,95,D1,52.261049,-7.137087,10749,waterford-city,Waterford,,NA
"Cleadagh Cottage, Cleadagh, Spanish Point, Co. Clare, V95CX26",625000,3,2,Detached,130,F,52.859091,-9.429988,12453,spanish-point-clare,Clare,"Stunning sea views, Prime location within a short distance of Spanish Point, Selection of beaches, restaurants, cafes, hotels, golf course, etc in close proximity , Large site (5.14 acres) with direct access onto the coastline, Adjoining garage and spacious 61 sq. metre studio and mezzanine area with potential for multiple use, Eircode V95 CX26, Folio No: CE28119 and CE43390F",1968
"Dunamaise, Johnduffswood, Oldleighlin, Co. Carlow, R93WF10",425000,4,4,Detached,192,B3,52.751005,-7.023952,13383,oldleighlin-carlow,Carlow,,2009
"Oak Vale Meadows, Stradbally, Co. Laois",345000,3,3,Semi-D,103,A3,53.014497,-7.145223,2537,stradbally-laois,Laois,"ICF Construction, NZeb Quality Homes, Home Bond Scheme, Last few homes, Excellent Build quality, Maintenance-free exteriors., Tasteful mix of brick and, render., PVC fascia, gutters and downpipes., Composite front doors with secure locking system.",NA
